tendays,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,12.7,12.01,9.46,14.39,7.6,8.61,13.27,8.38,8.58,14.17,8.11,9.51,12.87,20.03,8.92,6.87,22.07,12.83,9.3,14.96,15.18,8.24,9.56,10.5,7.54,7.8,5.41,6.91,11.14,9.53,6.78,15.8,7.69,12.11,6.64,8.72,8.16,6.6,11.77,4.8,11.84,7.92,9.2,7.95,21.15,18.49,10.29,13.29,8.58,8.16,9.75,9.84,9.58,15.91,3,11.28,9.8,12.92,15.43,27.05,10.4
2,1,10.25,11.38,8.6,12.92,7.16,7.48,11.68,6.97,10.05,12.02,7.35,13.38,10.7,16.58,9.24,6.95,18.84,11.84,8.72,16.96,14.2,8.53,7.57,10.15,1,7.55,7.46,7.55,10.3,10.11,6.82,12.38,8.07,10.93,6,9.04,8.24,6.1,11.09,7.63,7.31,7.82,15.6,9.6,10.08,9.96,14.53,81.07,10.71,8.2,8.62,9.22,14.97,3.68,13.54,7.4,17.5,9.37,19.38,7.54
3,10.7,10.35,7.6,12.58,6.49,12.87,9.38,7.89,9.01,11.59,6.14,11.78,12.56,12.55,8.82,6.19,20.48,12.83,9.26,19.48,11.34,7.73,6.75,9.71,7.48,7.27,8.28,6.75,8.8,15.13,6.19,11.22,6.5,10.08,6.04,10.33,8,6.73,13.22,9.14,6.17,11.1,14.67,8.18,8.8,12.1,13.2,11.52,19.09,10.77,6.33,7.75,9.46,13.59,4.71,11.9,7.41,18.6,8.47,13.12,5.93
4,7.84,11.36,6.52,9.75,6.25,12.34,9.36,6.06,8.91,12.43,7.27,10.41,13.1,11.4,7.78,8.65,14.68,11.7,10.51,17.1,9.96,8.38,9.3,8.93,9.59,6.65,8.96,8.04,8,11.57,5.86,11.24,7.98,6.53,6.24,7.04,8.16,6.75,19.15,10.12,9.97,8.43,11.84,6.4,8.12,12.61,11.17,10.78,7.71,12.63,5.71,7.51,8.15,12.63,3.88,9.99,9.16,25.59,8.53,14.68,5.98
5,2,7.23,10.89,6.04,7.6,6.46,7.93,7.98,6.16,7.28,15.96,6.03,9.89,12.1,10.68,8.05,7.58,13.59,9.7,9.48,14.36,7.78,8.67,8.33,8.7,2,7.03,19.95,8.7,7.04,8.65,5.97,6.76,7.79,20.77,5.44,9.01,9.44,5.75,18.12,8.64,8.22,6.82,12.24,6.77,5.92,11.19,8.3,5.96,16.16,5.46,8.27,8.07,11.69,1.35,10.88,10.48,19.25,8.31,13.86,10.39
6,7.7,9.91,10.83,7.26,7.19,7.23,7.6,6.11,6.97,19.2,5.66,7.87,10.56,10.45,8.15,8.4,9.1,8.74,8.94,14.3,6.91,8.55,8.26,8.03,16.64,7,15.64,10.74,6.75,8.98,5.53,8.55,6.94,20.13,5.3,13.69,10.2,5.61,15.49,11.48,5.4,13.6,8.93,6.19,5.12,9.93,13.62,7.87,8.36,15.69,5.28,9.34,8.44,11.97,1.58,10.03,10.83,10.68,8.39,11.51,10.66
7,8.27,7.36,7.76,7.89,6.36,7.42,9.35,5.97,8.25,17.73,5.49,7.78,11.45,10.49,6.46,5.99,11.12,8.89,8.39,13.1,5.75,8.15,7.5,7.69,18.55,7.08,9.65,9.92,7.72,8.86,5.73,10.18,6.74,12.71,5.6,10,12.67,6.7,12.66,9.24,6.19,9.72,8.65,6.66,5.06,9.2,18.01,9.88,9.64,14.24,5.89,7.16,7.01,11.7,1.61,8.35,11.02,14.88,8.17,17.08,7.62
8,3,8.17,6.37,7.24,6.9,6.3,6.63,8.09,6.15,7.21,12.19,6.23,8.71,13.88,8.86,5.98,4.4,11.73,7.85,7.3,14.6,4.81,7.07,9.57,8.37,3,7.11,7.75,7.59,7.62,8.21,5.63,8.68,7.46,9.53,7.7,7.2,8,6.25,8.92,11.55,5.38,7.5,6.97,6.01,5.15,11.15,8.79,9.17,13.08,5.16,6.61,7.48,10.76,1.62,8.48,11.1,27.41,7.17,13.5,5.46
9,7.47,7.15,8.58,9.5,6.06,5.82,6.03,6.76,7.09,13.27,5.69,8.03,9.91,7.67,6.11,5.45,11.18,6.69,6.61,22.7,8.78,6.58,11.26,6.46,18.63,6.65,6.38,8.31,10.15,7.45,7.61,10.42,7.48,8.35,8.58,7.42,7.35,6.77,18.37,9.45,5.26,5.45,7.86,6.02,5.12,6.87,10.62,17.59,7.6,10.98,4.45,6.02,6.25,9.14,1.7,6.88,10.44,18.94,7.22,10.87,8.19
10,6.28,8.44,7,8.85,5.5,5.72,5.83,7.14,6.69,13.44,5.92,6.91,8.42,6.66,6.22,11.12,10.78,6.61,7.09,17.86,7.72,5.28,8.19,5.67,13.75,7.1,6.96,7.52,6.56,9.93,8.78,7.76,7.44,7.19,9.46,6.16,9.52,7.05,11.51,7.31,5.84,6.03,8.28,5.58,4.89,8.56,11.52,12.76,8.1,11.48,4.51,5.38,5.78,7.69,1.76,6.93,7.01,12.67,8.35,7.37,11.66
11,4,6.06,6.96,5.8,8.73,4.86,5.84,5.95,7.16,21.57,10.56,5.3,6.73,7.38,6.85,5.91,8.9,10.13,7.57,7.13,9.86,15.11,6.13,7.16,5.59,4,6.96,6.23,6.63,7.88,7.39,8.65,12.4,5.09,12.87,10.05,5.52,6.56,6.3,9.97,6.05,5.68,6.92,8.68,6.18,4.76,9.1,8.48,7.31,13.37,4.52,5.15,5.27,6.74,1.82,7.1,6.52,10.97,7.9,6.68,13.57
12,10.13,6.72,6.52,7.66,4.33,6.91,5.93,7.11,14.53,10.1,5.37,6.5,6.86,10.15,5.34,10.35,9.55,6.04,6.78,12.87,7.31,5.24,6.12,6.09,11.99,8.53,6.25,5.95,7,8.79,7.94,15.26,4.48,11.95,6.96,4.63,4.72,8.2,8.64,10.06,3.65,9.04,7.12,5.5,17.15,7.09,10.9,6.74,7.51,14.15,4.52,5.4,4.86,7.25,3.41,6.76,6.56,6.47,6.47,9.07,12.47
13,12.98,7.01,5.72,6.15,3.96,10.07,5.74,8.13,9.25,8.33,7.1,6.55,8.08,12.08,4.63,7.32,10.12,7.57,6.84,11.06,7.2,4.83,7.02,7.12,15.82,10.75,10.06,6.74,6.53,7.2,8.77,12.56,5.77,9.14,6.48,7.04,5.52,12.27,8.92,11.39,9.54,9.06,7.55,7.69,10.37,6.84,8.46,7.44,6.83,10.27,3.95,5.82,6.27,8.09,5.72,11.49,6.58,5.27,5.46,8.38,7.56
14,5,22.66,16.37,6.97,5.24,3.87,11.23,14.13,11.58,10.63,7.32,5.36,6.75,13.39,11.64,4.39,7.48,9.68,16.36,8.49,10.28,7.49,20.02,7.36,6.51,5,8.4,10.93,19.01,6.06,5.08,11.72,16.78,5.77,8.21,9.7,5.44,8.16,9.27,7.38,15.26,9.06,7.9,34.93,7.67,10.85,11.4,26.5,5.54,7.53,3.2,5.6,7.68,8.28,7.27,9.36,6.55,7.5,7.62,7.38,7.98
15,15.98,13.29,88.53,5.74,3.86,18.38,13.84,21.4,13.89,8.49,4.9,7.36,15.82,20.08,4.53,7.24,12.4,35.18,14.69,22.69,12.51,12.16,7.19,5.92,14.58,12.55,12.98,26.67,7.49,6.51,11.71,24.42,4.17,8.29,11.03,6.55,7.13,11.88,7.61,18.75,9.22,9.25,17.44,7.39,6.49,10.94,13.46,18.13,7.68,8.65,4.22,4.98,10.79,14.49,8.9,8.5,25.71,8.75,15.2,8.75,10.08
16,14.83,35.58,26.93,7.88,3.87,21.22,13.16,25.75,26.81,17.48,7.82,13.15,12.5,27.42,7.62,18.03,10.15,15.31,13.25,44.41,12,13.08,9.79,7.1,19.78,15.75,20.65,26.66,9.26,67.62,21.18,28.12,3.66,8.97,10,13.01,15.65,9.25,13.07,32.22,139.33,9.04,22.68,22.03,6.08,15.67,10.79,22.85,10.85,19.95,4.55,4.97,14.26,24.5,6.58,13.05,12.82,6.51,15.21,15.59,10.78
17,6,9.74,33.14,12.97,18.35,4.22,17.94,31.34,27.69,17.98,23.5,19.06,24.51,10.51,22.99,13.37,23.01,16.24,12.22,11.82,20.35,14.08,12.81,102.56,6.8,6,18.75,43.29,24.37,19.32,10.45,16.45,13.94,3.72,6.66,9.12,6.72,25.12,8.35,17.04,22,35.64,12.07,24.19,12.97,5.41,22.39,63.04,10.02,14.61,6.14,5,9.7,47.2,24.86,21.92,5.64,8.2,22.77,15.85,13.49
18,8.62,13.55,10.74,10.33,8.6,11.36,33.49,14.83,10.39,12.19,15.49,14.54,9.55,14.43,9.54,16,12.73,51.47,9.4,25.08,13.74,7.26,46.17,6.73,14.91,19.96,104.12,25.87,18.02,7.02,12.32,102.54,8.4,5.78,8.36,5.76,9.2,7.3,24.05,15.87,22.45,10.96,73.28,8.61,4.81,10.92,16.53,30.14,9.67,11.64,10.3,4.79,13.4,36.55,5.75,11.34,4.51,4.03,7.17,11.49,8.78
19,8,8.44,9.41,8.49,21,8.67,17.26,13.3,8.94,9.89,9.01,9.62,7.75,11.84,19.31,13.89,11.58,59.45,8.1,15.9,8.09,6.13,17.7,10.8,9.39,24.37,46.33,56.6,13.92,5.78,11.11,29.82,5.9,6.88,8.08,42,11.26,6.7,17.76,11.3,33,22.35,58.62,15.81,4.81,100.09,12.44,39.86,6.25,14.31,5.68,5.03,13.16,20.81,5.06,12.26,12.34,73.51,9.67,9.72,8.19
20,7,7.11,8.16,74.37,7.09,15.26,7.65,142.07,11.9,9.04,9.06,6.93,11.58,6.97,46.18,11.83,9.58,12.34,30.32,8.33,10.68,7.46,10.35,13.76,8.41,7,14.91,32.62,143.86,9.04,6.51,11.47,18.04,31.19,6.22,5.28,136.53,14.54,6.95,12.59,10.25,15.69,24.91,39.42,27.81,4.12,27.01,28.22,9.9,33.3,21.88,5.29,14.95,14.92,9.3,8.28,7.16,48.85,10.97,20.34,5.4
21,6.59,11.34,36.42,65.51,14.07,7.42,114.15,10.8,7.12,154.86,82.47,9.25,106.33,31.75,11.29,11.86,11.76,18.97,42.95,10.08,43.65,5.6,26.85,132.99,8.36,9.78,24.63,20.31,17.19,6.82,13.94,20.8,36.69,5.44,9.4,18.87,68.14,138.03,8.05,8.56,20.85,14.2,26.73,9.7,4.18,15.09,39.7,137.48,7.25,72.04,14.68,6.16,15.37,39.58,5.35,103.9,5.07,15.94,11.82,13.34,6.05
22,9.49,20.97,107.12,22.36,10.11,78.4,31.56,9.16,7.72,78.93,39.52,10.34,26.85,43.69,9.23,7.41,19.05,16.55,26.11,38.19,122.9,5.47,15.05,125.06,6.65,7.4,20.1,12.1,11.51,5.75,18.04,27.24,15.62,5.17,7.44,106.54,55.41,51.52,20.4,49.83,34.66,14.59,28.62,26.09,60.94,12.78,16.38,63.32,130.17,60.34,25.56,6.26,11.42,59.81,4.08,26.44,10.18,29.1,34.75,11.53,12.71
23,8,9.37,35.86,56.33,15.5,8.13,50.56,20.86,8.14,14.89,25.92,20.4,8.52,18.33,27.34,35.53,31.02,20.29,16.76,15.36,43.71,33.03,5.12,11.15,78.96,8,139.84,29.84,10.5,8.87,8.76,14.3,15.3,10.16,10.39,11.89,37.49,25.41,18.68,11.32,13.77,28.18,10.74,16.45,17.95,94.1,219.53,37.61,921.99,30.13,33.12,6.64,11.3,29.9,2.48,30.75,10.24,42.66,22.51,13.58,12.21
24,37.12,37.6,100.09,67.55,7.03,31.15,18.9,8.85,19.98,45.25,13.12,11.8,13.13,17.94,143.13,22.8,16.74,25.34,30.79,59.81,35.46,5.19,9.59,41.86,14.8,106.92,43.62,28.21,7.14,6.24,16.14,23.91,7.62,56.7,7.71,20.15,64.35,13.52,25.35,15.35,65.45,130.58,12,8.67,100.55,14.49,96.6,21.35,60.6,17.8,17.39,6.91,48.62,85.11,2.12,14.25,17.69,19.44,50.2,32.23,67.16
25,59.62,24.03,34.23,133.55,29.98,21.24,13.74,9.87,17.85,169.17,92.43,25.63,11.62,13.49,36.48,19.73,14.55,18.5,17.17,32.75,30.56,6.6,12.03,20.83,11.32,132.98,85.06,12.75,86.45,5.46,18.22,163.28,11.08,88.34,7.68,10.69,69.01,18.31,20.87,17.49,60.47,34.02,21.38,8.84,200.13,18.45,60.59,23.85,35.27,17.6,13.52,16.15,52.94,48.79,2.45,9.19,20.1,5.25,29.38,18.7,22.38
26,9,33.68,16.67,50.99,35.06,32.14,54.83,12.04,50.77,12.41,42.68,170.47,16.09,31.12,11.64,22.91,15.39,15.98,20.29,12.87,35.67,21.07,73.11,50.7,14.19,9,56.13,96.45,74.06,105.08,5.15,153.48,50.8,18.97,39.6,48.62,19.24,27.54,17.06,18.24,12.78,21.41,20.95,40.58,14.59,32.36,21.17,59.61,29.23,32.2,12.13,36.53,25.06,30.82,2.06,8.74,12.95,109.51,12.6,195.27,21.2
27,25.26,55.21,129.12,19.6,20.1,40.27,12.04,25.39,12.51,175.4,56.48,12.9,30.47,11.6,19.26,60.9,72.88,44.75,144.74,19.47,15.61,43.21,102.68,12.23,12.35,36.96,79.07,39.96,23.95,101.49,44.06,29.32,100.56,220.79,37.5,12.2,67.78,13.35,11.42,13.11,21.69,13.38,245.7,10.86,49.36,14.44,169.62,29.56,92.44,80.12,17.01,38.82,25.05,30.74,221.82,58.69,19.1,104.23,11.09,71.03,15.3
28,19.21,22.25,66.45,122.57,20.39,43.7,18.06,15.2,12.57,131.3,182.35,56.81,122.76,11.64,126.44,85.71,38.87,26.17,47.83,15.98,12.36,21.15,39.46,9.82,15.53,12.04,70.12,14.98,13.04,45.05,34.8,22.98,91.46,30.88,37.12,10.61,34.66,10.29,14.09,22.83,35.59,12.06,97.86,18.12,29.45,12.96,78.67,22.59,42.48,24.77,46.15,32.79,154.21,17.16,27.59,22.77,11.44,175.03,35.71,36.82,13.59
29,10,14.46,35.52,22.48,35.22,13.72,88.87,15.78,12.32,81.47,54.94,36.21,59.64,39.15,10.25,82.18,179.9,83.08,17.92,28.22,45.22,9.42,15.23,18.49,8.93,10,8.65,20.06,12.18,10.22,41.9,16.7,22.1,19.62,19.93,22.13,10.53,25.66,12.81,13.44,212.25,28.39,25.25,43.2,24.62,22.86,43.43,17.67,32.31,17.28,16.2,51.29,42.39,12.64,20.49,11.61,10.03,75.8,383.45,35.18,11.71
30,12.06,21.77,13.28,19.89,10.91,39.64,10.93,10.79,69.45,28.91,19.45,32.4,16.51,9.17,40.4,166.27,69.73,15.51,19.76,35.3,8.89,14.65,14.46,7.39,24.45,83.45,9.44,12.02,119.21,179.15,13.35,16.78,35.65,15.07,10.81,9.96,14.01,9.62,11.36,220.75,11.34,94.51,20.15,12.3,15.66,12.38,24.9,9.81,18.78,16.07,9.73,57.79,24.93,11.39,8.9,11.98,11.68,75.9,59.3,22.54,9
31,9.6,18.59,10.34,15.04,9.64,26.1,11.15,8.57,42.38,18.56,14.09,20.8,19.21,10.02,24.2,240.8,30.55,13,21.98,23.41,8.38,14.38,13.68,8.23,24.16,51.21,7.89,10.66,28.05,13.3,11.48,12.96,30.98,10.8,11,7.04,21.22,89.19,8.85,33.08,14.04,114.14,15.47,13.82,34.34,12.46,22.03,10.21,26.95,14.4,9.57,28.81,27.95,12.46,10.91,10.98,26.6,27.33,12.06,59.01,12.48
32,11,46.74,11.82,9.44,14.15,9.29,22.13,29,9.08,68.85,14.74,12.11,17.06,17.6,10.88,21.07,135.23,19.28,13.87,44.54,21.54,13.64,13.34,11.46,8.08,11,16.31,7.64,25.02,22.53,21.9,11.12,11.42,15.73,15.07,8.8,5.04,12.52,67.36,6.54,16.05,13.58,31.5,14.15,7.65,47.76,15.5,8.38,22.42,10.47,9.3,25.16,60.89,14.18,3.95,11.25,15.61,18.21,50.65,20.47,8.27
33,38.59,11.03,10.35,12.32,8.89,15.75,20.63,10.43,41.69,10.82,14.13,15.52,15.32,11.64,16.34,44.47,16.03,12.44,26.32,21.19,11.82,15.65,13.13,6.83,11.11,7.51,8.01,27.68,17.78,17.38,11.36,8.91,15.07,14.78,11.51,6.16,11.4,31.21,8.15,18.55,12.52,18.93,11.4,7.49,20.27,10.08,14.95,8.52,107.21,14.79,8.75,18.22,31.22,13.4,3.77,26.39,25.85,23.88,31.76,16.25,7.25
34,18.54,10.49,10.17,10.88,13.08,13.62,14.76,10.87,24.02,9.73,11.68,15.46,18.48,9.69,9.04,33.68,12.29,10.38,15.67,15.01,8.9,9.5,12.45,6.83,8.87,5.88,5.92,16.51,14.62,12.88,10.82,8.92,12.08,10,11.43,6.8,9.06,15.96,8.36,14.61,12.82,18.93,13.97,9.84,30.79,192.06,14.54,11.2,46.16,14.33,8.38,12.56,24.63,19.26,1.88,10.76,10.75,27.54,26.33,8.85,12.9
35,12,15.55,9.3,8.61,9.39,14.52,12.85,12.72,8.96,19.69,9.5,10.79,15,14.28,7.71,9.01,29.52,18.24,8.03,15.92,13.24,9.01,7.29,9.92,6.67,12,5.49,5.89,12.7,13.25,9.63,9.68,7.98,11.56,8.48,9.52,7.77,7.65,11.48,5.6,11.41,14.02,17.73,13.93,9.16,31.92,14.84,10.55,26.47,11.02,8.18,12.6,22.48,15.93,5.2,10.92,13.47,20.27,20.92,9.5,10.21
36,14.44,8.97,8.87,7.95,11.78,10.96,10.46,9.23,15.04,8.56,10.05,13.92,12.96,8.74,10.1,27.01,16.14,6.65,14.45,12.15,8.29,7.95,9.19,7.27,6.67,5.59,5.25,11.2,9.53,6.69,13.89,7.57,13.03,7.56,8.29,9.16,7.91,11.11,6.15,16.75,10.72,11.7,10.6,11.42,28.15,15.65,11.82,7.23,18.37,7.87,8.73,12.34,16.18,13.2,2.11,10.67,9.84,24.36,20.36,11.56,10.61
