month,period,tendays,W2_before_cms,W2_after_cms,W1_before_cms,W1_after_cms,W2_diversion_cms,W1_diversion_cms,W2_capture_rate,W1_capture_rate
1,early,1,2.13,0.06,10.36,0.48,2.07,9.879999999999999,0.9718309859154929,0.9536679536679536
1,mid,2,2.01,0.06,9.8,0.48,1.9499999999999997,9.32,0.9701492537313433,0.9510204081632653
1,late,3,1.99,0.06,9.67,0.48,1.93,9.19,0.9698492462311558,0.9503619441571871
2,early,4,1.84,0.06,9.16,0.48,1.78,8.68,0.967391304347826,0.9475982532751092
2,mid,5,1.88,0.06,9.37,0.48,1.8199999999999998,8.889999999999999,0.9680851063829787,0.9487726787620063
2,late,6,1.85,0.06,9.24,0.48,1.79,8.76,0.9675675675675676,0.948051948051948
3,early,7,1.78,0.06,8.71,0.48,1.72,8.23,0.9662921348314606,0.9448909299655568
3,mid,8,1.66,0.06,8.11,0.48,1.5999999999999999,7.629999999999999,0.963855421686747,0.9408138101109741
3,late,9,1.71,0.06,8.33,0.48,1.65,7.85,0.9649122807017544,0.942376950780312
4,early,10,1.63,0.06,7.86,0.48,1.5699999999999998,7.380000000000001,0.9631901840490797,0.9389312977099237
4,mid,11,1.65,0.08,7.98,0.6,1.5699999999999998,7.380000000000001,0.9515151515151514,0.924812030075188
4,late,12,1.58,0.06,7.63,0.48,1.52,7.15,0.9620253164556962,0.9370904325032766
5,early,13,1.86,0.06,7.87,0.48,1.8,7.390000000000001,0.9677419354838709,0.9390088945362135
5,mid,14,2.35,0.15,9.94,0.89,2.2,9.049999999999999,0.9361702127659575,0.9104627766599597
5,late,15,3.38,0.63,14.29,2.94,2.75,11.35,0.8136094674556213,0.794261721483555
6,early,16,3.22,0.39,17.54,2.98,2.83,14.559999999999999,0.8788819875776397,0.8301026225769669
6,mid,17,3.5,0.59,19.07,4.08,2.91,14.99,0.8314285714285715,0.7860513896171998
6,late,18,3.52,0.94,19.21,6.13,2.58,13.080000000000002,0.7329545454545455,0.6808953669963561
7,early,19,3.14,0.66,15.68,3.95,2.48,11.73,0.7898089171974522,0.7480867346938775
7,mid,20,4.88,2.26,24.36,12.27,2.62,12.09,0.5368852459016393,0.49630541871921185
7,late,21,6.53,3.36,32.59,17.97,3.1700000000000004,14.620000000000005,0.4854517611026034,0.44860386621663095
8,early,22,4.13,1.44,30.97,14.99,2.69,15.979999999999999,0.6513317191283293,0.5159832095576364
8,mid,23,3.3,0.68,24.74,8.35,2.6199999999999997,16.39,0.7939393939393938,0.6624898949070332
8,late,24,4.29,1.41,32.11,14.82,2.88,17.29,0.6713286713286712,0.5384615384615384
9,early,25,6.86,3.32,41.28,23.34,3.5400000000000005,17.94,0.5160349854227406,0.43459302325581395
9,mid,26,6.82,2.74,40.99,21.14,4.08,19.85,0.5982404692082112,0.4842644547450598
9,late,27,8.62,4.05,51.81,29.74,4.569999999999999,22.070000000000004,0.5301624129930395,0.4259795406292222
10,early,28,8.17,3.8,44.88,24.4,4.37,20.480000000000004,0.5348837209302326,0.45632798573975053
10,mid,29,6.15,2.18,33.76,14.76,3.97,19,0.6455284552845528,0.5627962085308057
10,late,30,6,2.53,32.97,16.14,3.47,16.83,0.5783333333333334,0.5104640582347588
11,early,31,4.18,1.18,23.02,7.49,3,15.53,0.7177033492822967,0.6746307558644656
11,mid,32,3.74,0.94,20.58,6.09,2.8000000000000003,14.489999999999998,0.7486631016042781,0.7040816326530612
11,late,33,2.83,0.06,15.55,1.67,2.77,13.88,0.9787985865724381,0.8926045016077171
12,early,34,2.36,0.07,12.11,0.63,2.29,11.479999999999999,0.9703389830508475,0.9479768786127167
12,mid,35,2.12,0.06,10.88,0.54,2.06,10.34,0.9716981132075472,0.9503676470588235
12,late,36,1.98,0.06,10.12,0.49,1.92,9.629999999999999,0.9696969696969697,0.9515810276679841
